year,basin_index,class_id,count
1917,14,0,1069
1917,14,3,1
1917,14,4,1006
1917,14,5,62
1917,15,0,2505
1917,15,4,2314
1917,15,5,191
1917,16,0,539
1917,16,1,3
1917,16,3,1
1917,16,4,384
1917,16,5,151
1917,17,0,7649
1917,17,1,42
1917,17,3,28
1917,17,4,6325
1917,17,5,1254
1917,18,0,2688
1917,18,1,5
1917,18,3,2
1917,18,4,1645
1917,18,5,1036
1918,0,0,12320
1918,0,1,218
1918,0,3,71
1918,0,4,8067
1918,0,5,3964
1918,1,0,5187
1918,1,1,37
1918,1,4,1872
1918,1,5,3278
1918,2,0,6663
1918,2,1,59
1918,2,3,8
1918,2,4,5546
1918,2,5,1050
1918,3,0,98
1918,3,1,4
1918,3,3,1
1918,3,4,76
1918,3,5,17
1918,4,0,5859
1918,4,1,54
1918,4,3,126
1918,4,4,3279
1918,4,5,2400
1918,5,0,2512
1918,5,1,173
1918,5,3,2
1918,5,4,1311
1918,5,5,1026
1918,6,0,3927
1918,6,1,122
1918,6,3,2
1918,6,4,1113
1918,6,5,2690
1918,7,0,4217
1918,7,1,24
1918,7,3,3
1918,7,4,2579
1918,7,5,1611
1918,8,0,1419
1918,8,1,24
1918,8,3,45
1918,8,4,1101
1918,8,5,249
1918,9,0,9669
1918,9,1,160
1918,9,3,10
1918,9,4,6922
1918,9,5,2577
1918,10,0,7395
1918,10,1,43
1918,10,3,15
1918,10,4,5165
1918,10,5,2172
1918,11,0,2807
1918,11,4,2084
1918,11,5,723
1918,12,0,5713
1918,12,1,19
1918,12,3,10
1918,12,4,4091
1918,12,5,1593
1918,13,0,8770
1918,13,1,6
1918,13,3,29
1918,13,4,7031
1918,13,5,1704
1918,14,0,1069
1918,14,3,1
1918,14,4,1002
1918,14,5,66
1918,15,0,2505
1918,15,4,2315
1918,15,5,190
1918,16,0,539
1918,16,1,3
1918,16,3,1
1918,16,4,384
1918,16,5,151
1918,17,0,7649
1918,17,1,42
1918,17,3,27
1918,17,4,6325
1918,17,5,1255
1918,18,0,2689
1918,18,1,5
1918,18,3,2
1918,18,4,1628
1918,18,5,1054
1919,0,0,12320
1919,0,1,218
1919,0,3,70
1919,0,4,8072
1919,0,5,3960
1919,1,0,5187
1919,1,1,37
1919,1,4,1885
1919,1,5,3265
1919,2,0,6663
1919,2,1,59
1919,2,3,7
1919,2,4,5529
1919,2,5,1068
1919,3,0,98
1919,3,1,4
1919,3,3,1
1919,3,4,76
1919,3,5,17
1919,4,0,5859
1919,4,1,54
1919,4,3,126
1919,4,4,3268
1919,4,5,2411
1919,5,0,2512
1919,5,1,173
1919,5,3,2
1919,5,4,1320
1919,5,5,1017
1919,6,0,3927
1919,6,1,122
1919,6,3,2
1919,6,4,1114
1919,6,5,2689
1919,7,0,4217
1919,7,1,24
1919,7,3,3
1919,7,4,2562
1919,7,5,1628
1919,8,0,1419
1919,8,1,24
1919,8,3,42
1919,8,4,1093
1919,8,5,260
1919,9,0,9669
1919,9,1,160
1919,9,3,10
1919,9,4,6917
1919,9,5,2582
1919,10,0,7395
1919,10,1,43
1919,10,3,15
1919,10,4,5175
1919,10,5,2162
1919,11,0,2807
1919,11,4,2097
1919,11,5,710
1919,12,0,5713
1919,12,1,19
1919,12,3,10
1919,12,4,4090
1919,12,5,1594
1919,13,0,8770
1919,13,1,6
1919,13,3,31
1919,13,4,7031
1919,13,5,1702
1919,14,0,1069
1919,14,3,1
1919,14,4,1006
1919,14,5,62
1919,15,0,2505
1919,15,4,2316
1919,15,5,189
1919,16,0,539
1919,16,1,3
1919,16,3,1
1919,16,4,386
1919,16,5,149
1919,17,0,7649
1919,17,1,42
1919,17,3,28
1919,17,4,6323
1919,17,5,1256
1919,18,0,2688
1919,18,1,5
1919,18,3,2
1919,18,4,1639
1919,18,5,1042
1920,0,0,12320
1920,0,1,218
1920,0,3,69
1920,0,4,8025
1920,0,5,4008
1920,1,0,5187
1920,1,1,37
1920,1,4,1861
1920,1,5,3289
1920,2,0,6663
1920,2,1,59
1920,2,3,8
1920,2,4,5538
1920,2,5,1058
1920,3,0,98
1920,3,1,4
1920,3,3,1
1920,3,4,76
1920,3,5,17
1920,4,0,5859
1920,4,1,54
1920,4,3,124
1920,4,4,3272
1920,4,5,2409
1920,5,0,2512
1920,5,1,173
1920,5,3,2
1920,5,4,1321
1920,5,5,1016
1920,6,0,3927
1920,6,1,122
1920,6,3,2
1920,6,4,1110
1920,6,5,2693
1920,7,0,4217
1920,7,1,24
1920,7,3,3
1920,7,4,2578
1920,7,5,1612
1920,8,0,1419
1920,8,1,24
1920,8,3,47
1920,8,4,1097
1920,8,5,251
1920,9,0,9669
1920,9,1,160
1920,9,3,10
1920,9,4,6935
1920,9,5,2564
1920,10,0,7395
1920,10,1,43
1920,10,3,15
1920,10,4,5173
1920,10,5,2164
1920,11,0,2807
1920,11,4,2089
1920,11,5,718
1920,12,0,5713
1920,12,1,19
1920,12,3,10
1920,12,4,4076
1920,12,5,1608
1920,13,0,8770
1920,13,1,6
1920,13,3,28
1920,13,4,7031
1920,13,5,1705
1920,14,0,1069
1920,14,3,1
1920,14,4,999
